"id","lat","lng","adresse","cp","ville","services","automate_h24","active","address","lower_address"
"1000001",46.20114,5.19791,"596 AVENUE DE TREVOUX","01000","SAINT-DENIS-LèS-BOURG","Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB",True,True,"596 AVENUE DE TREVOUX 01000 SAINT-DENIS-LèS-BOURG","596 avenue de trevoux 01000 saint-denis-lès-bourg"
"1000002",46.21842,5.22767,"16 Avenue de Marboz","01000","BOURG-EN-BRESSE","Vente de gaz domestique (Butane, Propane)|Automate CB",True,True,"16 Avenue de Marboz 01000 BOURG-EN-BRESSE","16 avenue de marboz 01000 bourg-en-bresse"
"1000004",46.188,5.245,"20 Avenue du Maréchal Juin","01000","Bourg-en-Bresse","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Relais colis|Piste poids lourds|Automate CB|Vente de fioul domestique|Automate CB 24/24",True,True,"20 Avenue du Maréchal Juin 01000 Bourg-en-Bresse","20 avenue du maréchal juin 01000 bourg-en-bresse"
"1000005",46.200936,5.19942,"642 Avenue de Trévoux","01000","SAINT-DENIS-LèS-BOURG","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique",True,False,"642 Avenue de Trévoux 01000 SAINT-DENIS-LèS-BOURG","642 avenue de trévoux 01000 saint-denis-lès-bourg"
"1000006",46.20754,5.23758,"1 Boulevard John Kennedy","01000","BOURG-EN-BRESSE","Vente de gaz domestique (Butane, Propane)",False,True,"1 Boulevard John Kennedy 01000 BOURG-EN-BRESSE","1 boulevard john kennedy 01000 bourg-en-bresse"
"1000007",46.20105,5.24891,"360 AVENUE DU CAPITAINE DHONNE","01000","Bourg-en-Bresse","Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Vente de fioul domestique",True,True,"360 AVENUE DU CAPITAINE DHONNE 01000 Bourg-en-Bresse","360 avenue du capitaine dhonne 01000 bourg-en-bresse"
"1000008",46.199417,5.240704,"Bd Charles de Gaulle","01000","BOURG-EN-BRESSE","Toilettes publiques|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB",True,True,"Bd Charles de Gaulle 01000 BOURG-EN-BRESSE","bd charles de gaulle 01000 bourg-en-bresse"
"1000009",46.19566,5.22935,"56 Rue du Stand","01000","Bourg-en-Bresse","Vente de gaz domestique (Butane, Propane)|Automate CB|Vente de fioul domestique",True,True,"56 Rue du Stand 01000 Bourg-en-Bresse","56 rue du stand 01000 bourg-en-bresse"
"1000010",46.198518,5.243506,"Boulevard Charles de Gaulle","01000","BOURG-EN-BRESSE","Automate CB",True,False,"Boulevard Charles de Gaulle 01000 BOURG-EN-BRESSE","boulevard charles de gaulle 01000 bourg-en-bresse"
"1000012",46.2009,5.19963,"642, AVENUE DE TREVOUX","01000","Saint-Denis-lès-Bourg","",False,True,"642 AVENUE DE TREVOUX 01000 Saint-Denis-lès-Bourg","642 avenue de trevoux 01000 saint-denis-lès-bourg"
