"osm_obj","osm_id","osm_lat","osm_lng","osm_ref:FR:prix-carburants","osm_name","osm_brand","osm_operator","osm_opening_hours"
"node","144574",47.3093886,4.5013959,"21320007","Station Bp","","BP","24/7"
"node","10350952",46.9646837,4.8368226,"21190006","Beaune Tailly","","Total","24/7"
"node","10533131",48.8605913,6.0917108,"54700008","Agip Aire de Loisy","Agip","Agip",""
"node","17875492",45.509807,2.9354875,"63610001","Auchan","","Auchan",""
"node","24933082",49.4505608,3.9245631,"2190005","","","Shell","24/7"
"node","24933100",49.8649365,3.292081,"2100012","Cora Saint-Quentin","","Cora","24/7"
"node","24933102",49.8518292,3.2648799,"2100013","Intermarché","","Groupement des Mousquetaires","24/7"
"node","24933103",49.833341,3.3066174,"2100017","Station Oil","","","24/7"
"node","24933123",44.3868833,6.6286316,"4400004","Relais des Terres Neuves","","",""
"node","24933124",44.9036522,6.629131,"5100008","Relais Total La Grande Boucle","Total","Total","24/7"
"node","24933166",49.6993383,4.9269062,"8200010","Relais Total Sedan Marne","Total","Total","24/7"
"node","24933204",44.1068608,3.0824739,"12100005","Simply Market","","Simply Market","24/7"
"node","24933212",43.1924697,5.6660431,"13600016","Agip Aire du Liouquet - A50","Agip","","24/7"
"node","24933409",48.8538998,-0.8799706,"14500001","Station Total Vire","","Total",""
"node","24933431",45.6989319,-0.3440647,"16100006","Station Intermarché","","Groupement des Mousquetaires",""
"node","24933459",46.1356512,-1.0082154,"","","","Groupement des Mousquetaires",""
"node","24933461",46.1568852,-1.120358,"17000012","Total","","Total","24/7"
"node","24933499",47.0954738,2.2428083,"18500006","18-A 71-Station Eni","","Eni","24/7"
"node","24933531",42.6764751,9.4445005,"20600007","Station Esso Arinella","Esso","Esso","24/7"
"node","24933534",42.5680791,9.441135,"20290003","Relais De Borgo","Total","Total","24/7"
"node","24933547",41.9980754,9.4031533,"20243001","Total","Total","Total","24/7"
"node","24933599",48.4771049,-2.591464,"22400007","Total Access Coëtmieux","","Total","24/7"
"node","24933643",46.183,1.846,"23000004","Station Avia","","Avia","24/7"
"node","24933696",44.876514,1.21368,"24200005","Station Shell","","Shell",""
"node","25178042",49.0879628,1.4938446,"27200004","Avia","","","24/7"
"node","25178050",47.8359069,7.3949637,"68390004","Relais Total De Battenheim","","Total","24/7"
"node","25178086",47.4921945,3.9221517,"89200008","Avia Xpress Vauban","Avia","Avia","24/7"
"node","25178159",48.6510011,2.3689918,"91170006","Relais Total De La Grande Borne","","Total","24/7"
"node","25178201",47.2583594,-1.5798059,"44300004","Avia","","Avia","24/7"
"node","25178206",43.6723447,4.4219281,"30800001","Intermarché","","Groupement des Mousquetaires",""
"node","25178265",43.3315513,3.2474108,"34500027","Station Total","","Total","24/7"
"node","25178277",43.4088589,6.0449128,"83170002","Station Avia","","Avia","24/7"
"node","25178314",46.7014673,0.3713511,"86130008","Station Avia","","Avia","24/7"
"node","25178337",49.6784837,1.3383569,"76680003","Shell","","Shell",""
"node","25178354",48.8649703,2.6763849,"77400012","Station Bp","","BP","24/7"
"node","25178366",48.0230934,0.1829726,"72000019","Total Access","Total Access","Total","24/7"
"node","25178373",47.280567,5.0081092,"21160004","Relais Total De La Côte","","Total","24/7"
"node","25178381",43.1497548,6.0341514,"83130001","Relais Total De Chaberte","","Total","24/7"
"node","25178388",45.12843,1.31753,"24120007","Relais Total Du Moulin-rouge","","Total","24/7"
"node","25178423",47.6411598,6.916483,"90160001","Auchan","","Auchan","24/7"
"node","25178441",43.5822791,5.4726779,"13770002","Intermarché","Intermarché","Groupement des Mousquetaires",""
"node","25178458",49.2592558,4.0566218,"51100043","Station Total","","Total","24/7"
"node","25178478",48.9206895,2.3059966,"92230010","Station Elf","Total Access","Elf","24/7"
"node","25178485",48.9306788,1.975096,"78630011","Station Total Access","Total Access","","24/7"
"node","25178489",47.311318,-2.200929,"44570004","Station service AVIA","","Shell","24/7"
"node","25178495",49.2839686,-0.72561,"14400010","Total","","Relais Total de Vaucelles","24/7"
"node","25178522",50.5726681,2.3772762,"62120014","","Shell","Shell","24/7"
"node","25178536",44.003482,4.7046202,"30126005","Station Esso","","Esso","24/7"
"node","25178587",45.4889875,-0.5657864,"17240001","Station Total","","Total","24/7"
"node","25178645",48.2543657,7.206837,"68160004","Relais Total de Sainte-Marie","","Total","24/7"
"node","25178668",46.9566902,4.2863694,"71400014","Station Avia","","Avia",""
"node","25178680",43.6381921,1.3902707,"31700009","Station Total","","Total","24/7"
"node","25178696",44.5053636,0.1503935,"47200003","Station Total De Marmande","","Total",""
"node","25178719",45.70697,4.98698,"69800017","Relais Total de Saint-Hubert","","Total","24/7"
"node","25178775",43.5088618,2.361112,"81200004","Station Elan","","Elan","24/7"
"node","25178823",46.5576169,0.6245597,"86300002","Station Esso Garage J. Menu","","Esso","24/7"
"node","25178828",48.3626764,7.573834,"67230006","Station Total","","Total","24/7"
"node","25178928",43.9246806,4.9127785,"84310004","Esso","","Esso","24/7"
"node","25178948",45.0012808,0.0366653,"33660001","Station Dyneff","","","24/7"
"node","25178961",48.3640443,2.8532429,"77250006","Station Elf","Total Access","Elf","24/7"
"node","25179025",47.1675782,0.6309601,"37800006","Relais Total Sainte-Maure-de-Touraine","Total","Total",""
