Identifiant,Marque,Nom
1500001,Carrefour Market,Carrefour Market
1500004,Avia,GARAGE VINCENT SAS
1500007,Intermarché,INTERMARCHE AMBERIEU EN BUGEY
1330001,Total,SARL BUTILLON
1100001,Géant,GEANT CASINO
1100004,Avia,STATION SERVICE AVIA
1510003,Carrefour Contact,CEGOVIDA
1340004,Dyneff,GARAGE DES PRÉS
1380001,Colruyt,DATS BAGE LA VILLE
1360002,Elan,Station service ELAN
1200001,Carrefour Market,Carrefour Market
1200003,Carrefour,CARREFOUR PROVENCIA HYPER
1300001,Carrefour Market,Carrefour Market
1300002,Simply Market,SIMPLY MARKET
1350003,Intermarché,Intermarché BEON
1700004,Leclerc,SAS BEDIS
1000008,Carrefour,Carrefour bourg en bresse
1000002,Carrefour Market,Carrefour Market
1000006,Casino,CASINO SUPERMARCHE
1000007,Leclerc,CENTRE E. LECLERC
1000009,Intermarché,INTERMARCHE BOURG EN BRESSE
1000013,Total Access,RELAIS BOURG
1000004,Total,SARL WALES DISTRIBUTION
1470002,Intermarché,Intermarché Briord
1430003,Agip,AGIP CEIGNES A40 SENS ANNECY BOURG EN BRESSE
1430005,Total,RELAIS DE CEIGNES CERDON
1250002,BP,BP A40 AIRE DE BOURG TEYSONGUE
1250005,Total,RELAIS BOURG JASSERON
1320002,Casino,DISTRIBUTION CASINO FRANCE
1320001,Elan,SARL JACQUET AUTOMOBILES
1500006,Avia,LE RELAIS DE CHATEAU-GAILLARD
1500003,Total,RELAIS CHATEAU-GAILLARD
1400001,Carrefour Market,Carrefour Market
1400005,Intermarché,INTERMARCHE CHATILLON
1400006,Netto,NETTO
1300003,Intermarché,INTERMARCHE CHAZEY BONS
1310003,Casino,casino
1350001,Carrefour Market,Carrefour Market
1120008,Total,RELAIS DE DAGNEUX
1120007,Shell,SHELL
1220001,Carrefour Market,Carrefour Market
1590001,Avia,GARAGE CLAUDE SARL
1570001,Intermarché,Intermarché
1210001,Carrefour,CARREFOUR FERNEY VOLTAIRE
1210003,Leclerc,CENTRE E.LECLERC
1210002,Total,GARAGE DUNAND
1170002,Carrefour Market,Carrefour Market
1170003,Intermarché,INTERMARCHE GEX
1170005,Avia,Station des Tilleuls
1110001,Carrefour Market,Carrefour Market
1480001,Carrefour Market,Carrefour Market
1340003,Intermarché,INTERMARCHE MONTREVEL EN BRESSE
1120006,Total,GARAGE DE LA BOISSE
1120005,Intermarché,INTERMARCHE LA BOISSE-MONTLUEL
1150001,Carrefour Market,Carrefour Market
1290001,Système U,SUPER U
1590002,Intermarché Contact,INTERMARCHE
1130002,Avia,SARL GARAGE MEUNIER
1980001,Total,cst distribution
1430004,Indépendant sans enseigne,GARAGE MURET
1340002,Total,SARL GOYARD
1600003,Auchan,AUCHAN SUPERMARCHE
1800001,Carrefour Market,Market
1390009,Agip,A46 AIRE DE MIONNAY EST- SENS SUD NORD
1600001,Carrefour Market,Carrefour Market
1700003,Esso Express,ESSO LES ECHETS
1090001,Auchan,AUCHAN SUPERMARCHE
1120004,Système U,SUPER U MONTLUEL
1460001,Carrefour Market,Carrefour Market
1340005,Carrefour Market,CARREFOUR MARKET
1130003,Total Access,RELAIS RESIDENCE
1160003,Intermarché,INTERMARCHE NEUVILLE SUR AIN
1460002,Total,ETS CRAUSAZ
1100002,Carrefour Market,Carrefour Market
1100006,Intermarché,DB OYONNAX
1100007,Total,RELAIS DES CRETETS
1630004,Intermarché,INTERMARCHE PERON
1960004,Agip,AGIP PERONNAS
1960001,Carrefour Market,Market
1310001,Total,GARAGE GUIGUE SA
1160005,Total Access,RELAIS DU CHENE
1160002,Système U,SUPER U
1460003,Intermarché,INTERMARCHE PORT
1750001,Intermarché,INTERMARCHE REPLONGES
1390010,Intermarché,INTERMARCHE
1390001,Carrefour Market,Carrefour Market
1390002,Total,RELAIS SAINT ANDRE DE CORCY
1190001,Atac,BI1 Saint-Bénigne
1000001,Carrefour Market,Carrefour Market
1000012,Total,RELAIS DES VAVRES
1140001,Carrefour Contact,CARREFOUR CONTACT
1370003,Intermarché,INTERMARCHE
1370001,Total,SARL CIRA DISTRIBUTION
1630001,Carrefour Market,Carrefour Market
1630003,Intermarché,INTERMARCHE ST GENIS POUILLY
1640001,Elan,GARAGE CEYZERIAT
1800002,Elan,SARL GARAGE ROUSSET
1230002,Avia,SARL MATHY GARAGE DE L EUROPE
1560001,Intermarché Contact,INTERMARCHE CONTACT
1150002,Total,TOTAL SAINT VULBAS
1170001,Carrefour,CARREFOUR SEGNY
1960005,Intermarché Contact,INTERMARCHE SAS INDARRA
1710001,MIGROS,MIGROS
1230003,Elan,STATION ELAN GARAGE BOLLEY
1250004,Avia,AVIA
1600002,Carrefour Market,Carrefour Market
1330002,Système U,super u
1440003,Avia,AVIA
1440001,Total,GARAGE BERRODIER
1440002,Total,STE DU VEHICULE INDUSTRIEL SAS
1510002,Avia,Garage de La Gare
1540001,Carrefour Market,Carrefour Market
1540002,Intermarché,INTERMARCHE
2320002,Intermarché,INTERMARCHE ANIZY-LE-CHATEAU
2300002,Carrefour Market,Carrefour Market
2800003,Leclerc,S.A.S. DISBEAU
2200010,Intermarché,INTERMARCHE BELLEU
2420001,Total,BELOT
2300009,Carrefour Contact,Carrefour Contact
2110002,Intermarché,INTERMARCHE BOHAIN-EN-VERMANDOIS
2220001,Carrefour Market,Carrefour Market
2860001,Total,GARAGE PETETIN
2000008,Leclerc,LAONDIS
2310001,Système U,SAS LES ILETTES
2400008,Avia,AVIA
2400001,Carrefour,CARREFOUR CHATEAU-THIERRY
2400004,Leclerc,E.LECLERC - CASTELDIS
2400005,Intermarché,INTERMARCHE CHATEAU-THIERRY
2400007,NETTO,NETTO
2300006,Intermarché,INTERMARCHE CHAUNY
2700001,Total,LE RELAIS DE PARIS
2380002,Total Access,RELAIS CRECY AU MONT
2270001,Carrefour Contact,TL DISTRI
2880001,Roady,AUTOPIECE
2690002,Total,RELAIS URVILLERS
2130001,Système U,SAS SOFERDIS
2310002,Avia,Station de l'Ourcq
2240002,Total,sarl le clair
2130005,Avia,Aire de tardenois sud
2130006,Avia,avia tardenois nord
2230002,Carrefour Market,carrefour market fresnoy
2430001,Intermarché,INTERMARCHE GAUCHY
2190004,Carrefour Market,Carrefour Market
2190003,Avia,SARL MARCHAND
2120003,Carrefour Market,Carrefour Market
2120004,Intermarché,INTERMARCHE GUISE
2120005,Total,STATION TOTAL LE CLAIR
2100009,Leclerc,LECLERC
2500001,Auchan,AUCHAN
2500004,Total Access,RELAIS HIRSON DE GAULLE
2500003,Leclerc,SODHIRS
2480001,Carrefour Contact,Carrefour Contact
2190005,Avia,Station AVIA
2260001,Carrefour Market,Carrefour Market
2800004,Carrefour Contact,Carrefour Contact
2460001,Intermarché,S.A. DIXY
2450002,Carrefour Contact,Carrefour Contact
2000002,Carrefour,Carrefour Laon
2000010,Carrefour Market,CARREFOUR MARKET
