"id","superseded_by"
1000010,1000013
1100003,1100007
1120002,1120008
1130001,1130003
1160001,1160005
1250001,1250005
1400003,1400006
1430001,1430005
1960003,1960004
2100006,2100020
2130003,2130006
2190001,2190004
2190002,2190005
2200002,2200015
2200005,2200014
2200006,2200013
2380001,2380002
2500002,2500004
2690001,2690002
3630002,3630003
4100003,4100010
4100008,4100011
4130002,4130005
4130003,4130004
4160001,4160004
4170001,4170003
4700001,4700004
5100007,5100008
5130001,5130003
5230006,5230007
6000006,6000032
6000021,6000028
6000022,6000027
6000030,6000035
6000031,6000032
6110001,6110009
6140001,6140005
6150006,6150008
6200002,6200026
6200008,6200028
6200017,6200022
6200018,6200027
6230001,6230003
6250003,6250009
6250008,6250010
6300004,6300015
6300005,6300017
6300010,6300018
6300014,6300018
6310001,6310002
6400006,6400010
6400007,6600022
6530001,6530004
6600006,6600025
6600017,6600024
6600019,6600023
6670004,6670009
6670005,6670007
6700004,6700006
6770001,6770002
6800001,6800020
6800002,6800018
6800004,6800017
6800005,6800024
6800011,6800019
7200002,7200008
7300004,7300007
8000009,8000010
8130001,8130004
8200009,8200010
8270001,8270002
8300004,8300008
8700002,8700001
10000001,10000019
10270001,10270006
10270002,10270007
10300004,10300005
10600004,10600001
11000004,11000015
11100006,11100013
11110002,11110005
12150001,12150006
12240001,12240002
12290002,12290003
12850003,12850001
13002003,13002004
13003001,13003004
13004004,13004005
13005009,13005011
13005010,13005012
13006002,13006005
13006004,13006005
13008003,13008016
13008015,13008017
13009004,13009008
13010007,13010012
13010010,13010011
13011007,13011019
13011012,13011017
13013010,13013016
13013013,13013017
13013015,13013016
13014006,13014008
13015006,13015013
13016002,13016007
13016006,13016008
13090016,13090019
13100001,13100014
13100002,13100015
13100009,13100017
13100010,13100018
13110001,13110005
13127002,13127012
13127004,13127010
13140009,13140010
13150005,13150006
13170009,13170011
13200001,13200014
13200002,13200015
13200008,13200019
13200010,13200016
13200017,13200019
13260001,13260002
13270001,13270012
13270002,13270011
13270009,13270013
13300004,13300010
13320001,13320011
13320006,13320012
13400004,13400014
13500002,13500012
13500004,13500011
13500007,13500014
13500013,13500014
13600002,13600015
13600008,13600016
13680001,13680008
13680002,13680007
13700001,13700009
13700003,13700010
13700004,13700011
13700008,13700011
14000002,14000019
14123003,14123008
14160001,14160004
14200004,14200009
14400008,14400010
14600001,14600007
14760001,14760002
14800007,14800009
14980004,14980006
14980005,14980006
15000004,15000016
15110002,15110003
16000001,16000008
16000003,16000009
16100002,16100008
16340001,16340002
17000001,17000012
17000002,17000011
17000003,17000010
17100003,17100013
17100004,17100011
17138005,17138007
17200002,17200008
17200004,17200009
17300001,17300007
17300002,17300006
17430006,17430007
18000007,18000017
18000008,18000018
18000013,18000019
18100005,18100011
19000005,19000008
19000007,19100017
19100002,19100016
19100005,19100014
19140002,19140006
21000003,21000025
21000005,21000026
21000016,21000027
21121005,21121007
21160002,21160004
21190005,21190007
21200002,21200007
21220001,21220002
21240001,21240004
21300006,21300007
21490002,21490003
21600001,21600006
21800006,21800009
22000004,22000010
22000009,22000011
22170002,22170004
22400002,22400007
22500001,22500002
22810001,22810002
23140002,23140003
24000005,24000011
24100002,24100014
24120003,24120007
24270003,24270004
24330001,24330006
24600001,24600004
24600002,24600004
25000006,25000023
25640001,25640007
25660001,25620001
25720008,25720009
26000003,26000014
26000004,26000015
26000006,26000016
26000011,26000019
26200002,26740003
26290001,26290009
26300002,26300012
26400001,26400007
26600001,26600014
26600012,26600013
26800001,26800007
27000002,27000008
27140003,27140006
27210001,27210007
27300002,27300006
27310003,27310008
27600005,27600006
27700003,27700005
28000004,28000010
28000005,28000009
28000008,28000011
28210001,28210003
28500003,28500008
28500004,28500007
29000003,29000013
29000004,29000011
29000008,29000012
29000010,29000012
29120002,29120007
29140005,29140008
29140006,29140009
29210001,29600004
29900001,29900005
30000002,30900016
30000018,30000020
30090001,30900015
30100006,30100013
30300002,30300010
30470002,30470004
30700002,30700007
30900008,30000019
30900009,30900018
31000002,31000004
31100009,31100010
31120004,31120010
31120008,31120009
31130006,31130008
31140009,31140010
31150003,31150005
31190001,31190004
31200001,31200020
31200011,31200022
31200013,31200021
31200016,31200023
31270006,31270007
31290002,31290008
31290003,31290009
31300002,31300007
31300003,31300006
31300004,31300008
31520004,31520005
31650001,31650003
31700002,31700010
31700003,31700009
31800001,31800007
32240001,84400008
33000003,33000023
33000007,33000014
33000008,33000015
33130003,33130006
33170006,33170008
33187001,33187002
33210002,33210011
33240002,33240010
33240004,33240011
33290005,33290009
33300002,33300005
33300004,33000024
33310001,33310007
33310002,33310008
33320007,33320008
33370009,33370015
33370012,33370014
